"idate","itime","station_id","qualitaets_niveau_air_temperature","struktur_version_air_temperature","lufttemperatur","rel_feuchte"
1947-01-15,08:00:00,284,5,24,6.8,92
1947-01-15,09:00:00,284,5,24,7,90
1947-01-15,10:00:00,284,5,24,7.5,89
1947-01-15,11:00:00,284,5,24,8,86
1947-01-15,12:00:00,284,5,24,8.2,86
1947-01-15,13:00:00,284,5,24,8.7,83
1947-01-15,14:00:00,284,5,24,8.8,80
1947-01-15,15:00:00,284,5,24,8,86
1947-01-15,16:00:00,284,5,24,7.4,87
1947-01-15,17:00:00,284,5,24,7,87
1947-01-15,18:00:00,284,5,24,6.4,87
1947-01-15,19:00:00,284,5,24,5.7,89
1947-01-15,20:00:00,284,5,24,4.8,91
1947-01-15,21:00:00,284,5,24,3.9,92
1947-01-15,22:00:00,284,5,24,2.4,95
1947-01-15,23:00:00,284,5,24,2,98
1947-01-16,00:00:00,284,5,24,2,99
1947-01-16,01:00:00,284,5,24,1.3,99
1947-01-16,02:00:00,284,5,24,2,99
1947-01-16,03:00:00,284,5,24,2,98
1947-01-16,04:00:00,284,5,24,0.9,99
1947-01-16,05:00:00,284,5,24,0.8,100
1947-01-16,06:00:00,284,5,24,-1.5,100
1947-01-16,07:00:00,284,5,24,-1.5,100
1947-01-16,08:00:00,284,5,24,-2,100
1947-01-16,09:00:00,284,5,24,-2,100
1947-01-16,10:00:00,284,5,24,-1.5,100
1947-01-16,11:00:00,284,5,24,-0.8,100
1947-01-16,12:00:00,284,5,24,-0.3,100
1947-01-16,13:00:00,284,5,24,-0.1,100
1947-01-16,14:00:00,284,5,24,0.4,100
1947-01-16,15:00:00,284,5,24,0.4,100
1947-01-16,16:00:00,284,5,24,0.2,100
1947-01-16,17:00:00,284,5,24,-0.1,100
1947-01-16,18:00:00,284,5,24,-0.8,100
1947-01-16,19:00:00,284,5,24,-1.3,100
1947-01-16,20:00:00,284,5,24,-1.5,100
1947-01-16,21:00:00,284,5,24,-1.4,100
1947-01-16,22:00:00,284,5,24,-2,100
1947-01-16,23:00:00,284,5,24,-2.2,100
1947-01-17,00:00:00,284,5,24,-2.9,99
1947-01-17,01:00:00,284,5,24,-3,98
1947-01-17,02:00:00,284,5,24,-3.8,98
1947-01-17,03:00:00,284,5,24,-3.5,98
1947-01-17,04:00:00,284,5,24,-4,98
1947-01-17,05:00:00,284,5,24,-4,98
1947-01-17,06:00:00,284,5,24,-4.6,98
1947-01-17,07:00:00,284,5,24,-3,98
1947-01-17,08:00:00,284,5,24,-4,98
1947-01-17,09:00:00,284,5,24,-3,98
1947-01-17,10:00:00,284,5,24,-1.8,99
1947-01-17,11:00:00,284,5,24,2,100
1947-01-17,12:00:00,284,5,24,3.3,93
1947-01-17,13:00:00,284,5,24,5.2,80
1947-01-17,14:00:00,284,5,24,6.5,71
1947-01-17,15:00:00,284,5,24,6.8,80
1947-01-17,16:00:00,284,5,24,5.2,89
1947-01-17,17:00:00,284,5,24,4.1,90
1947-01-17,18:00:00,284,5,24,3.3,90
1947-01-17,19:00:00,284,5,24,3,90
1947-01-17,20:00:00,284,5,24,2.1,93
1947-01-17,21:00:00,284,5,24,1.9,95
1947-01-17,22:00:00,284,5,24,1.9,96
1947-01-17,23:00:00,284,5,24,1.8,97
1947-01-18,00:00:00,284,5,24,2,97
1947-01-18,01:00:00,284,5,24,3.3,97
1947-01-18,02:00:00,284,5,24,3.3,90
1947-01-18,03:00:00,284,5,24,3.3,95
1947-01-18,04:00:00,284,5,24,3.2,93
1947-01-18,05:00:00,284,5,24,2.6,92
1947-01-18,06:00:00,284,5,24,2.4,93
1947-01-18,07:00:00,284,5,24,2.3,94
1947-01-18,08:00:00,284,5,24,1.9,94
1947-01-18,09:00:00,284,5,24,2.3,91
1947-01-18,10:00:00,284,5,24,3.2,85
1947-01-18,11:00:00,284,5,24,3.7,85
1947-01-18,12:00:00,284,5,24,4,76
1947-01-18,13:00:00,284,5,24,4.2,74
1947-01-18,14:00:00,284,5,24,4.4,73
1947-01-18,15:00:00,284,5,24,4.2,71
1947-01-18,16:00:00,284,5,24,3.3,76
1947-01-18,17:00:00,284,5,24,3.2,76
1947-01-18,18:00:00,284,5,24,3.2,74
1947-01-18,19:00:00,284,5,24,2.7,76
1947-01-18,20:00:00,284,5,24,2.8,78
1947-01-18,21:00:00,284,5,24,3.1,78
1947-01-18,22:00:00,284,5,24,2.9,80
1947-01-18,23:00:00,284,5,24,2.9,81
1947-01-19,00:00:00,284,5,24,2.8,81
1947-01-19,01:00:00,284,5,24,2.4,82
1947-01-19,02:00:00,284,5,24,2.4,83
1947-01-19,03:00:00,284,5,24,2.1,84
1947-01-19,04:00:00,284,5,24,1.9,86
1947-01-19,05:00:00,284,5,24,1.9,88
1947-01-19,06:00:00,284,5,24,1.8,90
1947-01-19,07:00:00,284,5,24,1.5,93
1947-01-19,08:00:00,284,5,24,1.6,95
1947-01-19,09:00:00,284,5,24,1.9,95
1947-01-19,10:00:00,284,5,24,2.2,95
1947-01-19,11:00:00,284,5,24,2.4,93
1947-01-19,12:00:00,284,5,24,2.8,88
1947-01-19,13:00:00,284,5,24,3.6,82
1947-01-19,14:00:00,284,5,24,4.4,80
1947-01-19,15:00:00,284,5,24,2.8,71
1947-01-19,16:00:00,284,5,24,2.6,70
1947-01-19,17:00:00,284,5,24,2,70
1947-01-19,18:00:00,284,5,24,1.2,77
1947-01-19,19:00:00,284,5,24,1.1,79
1947-01-19,20:00:00,284,5,24,1,78
1947-01-19,21:00:00,284,5,24,0.6,83
1947-01-19,22:00:00,284,5,24,0.4,82
1947-01-19,23:00:00,284,5,24,0.5,85
1947-01-20,00:00:00,284,5,24,0.3,89
1947-01-20,01:00:00,284,5,24,0.2,89
1947-01-20,02:00:00,284,5,24,0,87
1947-01-20,03:00:00,284,5,24,-0.2,90
1947-01-20,04:00:00,284,5,24,-0.3,91
1947-01-20,05:00:00,284,5,24,-0.9,90
1947-01-20,06:00:00,284,5,24,-1.3,86
1947-01-20,07:00:00,284,5,24,-1.5,81
1947-01-20,08:00:00,284,5,24,-1.3,76
1947-01-20,09:00:00,284,5,24,-1.2,66
1947-01-20,10:00:00,284,5,24,-0.7,61
1947-01-20,11:00:00,284,5,24,-0.2,60
1947-01-20,12:00:00,284,5,24,0.9,58
1947-01-20,13:00:00,284,5,24,1,58
1947-01-20,14:00:00,284,5,24,1.1,58
1947-01-20,15:00:00,284,5,24,1.2,61
1947-01-20,16:00:00,284,5,24,0.6,66
1947-01-20,17:00:00,284,5,24,0.3,70
1947-01-20,18:00:00,284,5,24,0.1,75
1947-01-20,19:00:00,284,5,24,-0.6,76
1947-01-20,20:00:00,284,5,24,-0.8,77
1947-01-20,21:00:00,284,5,24,-0.8,78
1947-01-20,22:00:00,284,5,24,-1.4,79
1947-01-20,23:00:00,284,5,24,-1.6,80
1947-01-21,00:00:00,284,5,24,-1,81
1947-01-21,01:00:00,284,5,24,-1.5,71
1947-01-21,02:00:00,284,5,24,-1.7,69
1947-01-21,03:00:00,284,5,24,-1.8,69
1947-01-21,04:00:00,284,5,24,-2.8,70
1947-01-21,05:00:00,284,5,24,-3.1,69
1947-01-21,06:00:00,284,5,24,-3.6,71
1947-01-21,07:00:00,284,5,24,-4.1,85
1947-01-21,08:00:00,284,5,24,-4.5,85
1947-01-21,09:00:00,284,5,24,-3.4,80
1947-01-21,10:00:00,284,5,24,-2.1,72
1947-01-21,11:00:00,284,5,24,-0.8,72
1947-01-21,12:00:00,284,5,24,-0.5,71
1947-01-21,13:00:00,284,5,24,0,63
1947-01-21,14:00:00,284,5,24,0.3,60
1947-01-21,15:00:00,284,5,24,-0.3,61
1947-01-21,16:00:00,284,5,24,-0.4,63
1947-01-21,17:00:00,284,5,24,-1,66
1947-01-21,18:00:00,284,5,24,-1.1,80
1947-01-21,19:00:00,284,5,24,-1.4,83
1947-01-21,20:00:00,284,5,24,-1.7,84
1947-01-21,21:00:00,284,5,24,-1.7,84
